LGA,Population_Raw,Population_2020
Alimosho,2108531.9484939575,2146550
Oshodi/Isolo,1144081.7744483948,1164709
Ojo,785578.8495147228,799742
Kosofe,776783.895210743,790789
Ikeja,723642.651763916,736689
Ikorodu,715798.0873714685,728703
Ifako/Ijaye,641452.9786243439,653018
Mushin,635548.9217224121,647007
Amuwo Odofin,607687.1722483635,618643
Surulere,556639.176864624,566675
Ajeromi/Ifelodun,517437.19972229004,526766
Eti Osa,409797.1279627085,417185
Agege,315799.18815612793,321493
Lagos Mainland,308338.67387390137,313898
Badagry,284989.09037446976,290127
Shomolu,261789.24076080322,266509
Epe,238768.77722799778,243074
Apapa,174178.79729175568,177319
Ibeju Lekki,144863.63012108207,147475
Lagos Island,56455.54899406433,57473
