LGA,Population,Within_5min,Within_10min,Within_15min,Within_30min,Underserved,Pct_5min,Pct_10min,Pct_15min,Pct_30min,Pct_Underserved,Accessibility_Rank
Agege,319538.3160896031,14680.118788797714,82280.78019563116,157312.8560281516,318585.14160870604,953.1744808971137,4.59,25.75,49.23,99.7,0.3,1
Lagos Mainland,316019.3094798522,35843.11542697925,128791.97207854998,214623.8522255494,307372.97208950826,8646.33739034397,11.34,40.75,67.91,97.26,2.74,2
Lagos Island,58896.13709632017,5587.941383606685,21543.98812662099,40854.88400594145,55410.467333575994,3485.6697627441768,9.49,36.58,69.37,94.08,5.92,3
Ikeja,733872.3767254816,48434.58655256016,139344.7989104411,253131.76095659652,643853.6671600563,90018.70956542535,6.6,18.99,34.49,87.73,12.27,4
Surulere,563229.9002519563,18570.278703324486,80533.42076422331,183695.9227489866,434339.05844995176,128890.8418020046,3.3,14.3,32.61,77.12,22.88,5
Mushin,643073.9528669743,29804.16614915489,113241.34696129597,207386.31704303058,459399.6811454562,183674.27172151807,4.63,17.61,32.25,71.44,28.56,6
Ajeromi/Ifelodun,523563.76356369,10478.687284571348,46930.1102104662,119915.4237719554,336431.91099348303,187131.852570207,2.0,8.96,22.9,64.26,35.74,7
Shomolu,265253.2212858562,14527.660024907227,52411.00528896057,79948.09756702435,168974.28053061664,96278.94075523956,5.48,19.76,30.14,63.7,36.3,8
Kosofe,812122.7789577403,40436.58687526833,138953.19999444738,241544.52082605276,514529.4493798525,297593.3295778878,4.98,17.11,29.74,63.36,36.64,9
Apapa,176241.11040337372,3570.785219541973,14608.729101280278,30762.562748232573,111292.67391446498,64948.436488908745,2.03,8.29,17.45,63.15,36.85,10
Oshodi/Isolo,1157627.9401177787,42959.303446237456,127605.74018604297,238974.8024123564,654986.9943584647,502640.94575931405,3.71,11.02,20.64,56.58,43.42,11
Eti Osa,416408.1469721326,21620.56985818807,74848.44892678123,124740.6764913143,232136.07173622292,184272.0752359097,5.19,17.97,29.96,55.75,44.25,12
Alimosho,2139521.7665292486,65844.60967732909,232853.24581837383,454385.694253398,1172174.5095969979,967347.2569322507,3.08,10.88,21.24,54.79,45.21,13
Ifako/Ijaye,660303.7758771878,2848.5721051080195,15807.639801956906,41680.39583135106,329324.5670807753,330979.2087964126,0.43,2.39,6.31,49.87,50.13,14
Amuwo Odofin,614882.3144963069,13200.11801462472,40878.780102118806,99730.71966082675,278709.8462683133,336172.46822799364,2.15,6.65,16.22,45.33,54.67,15
Ikorodu,727827.7740029348,9787.234000125023,34440.695934773685,67622.42114544367,181425.1923360224,546402.5816669124,1.34,4.73,9.29,24.93,75.07,16
Ibeju Lekki,146578.84556888926,155.07690631382818,550.7467461604984,1360.8887641128533,5067.207267468075,141511.63830142116,0.11,0.38,0.93,3.46,96.54,17
Ojo,796697.211591678,0.0,0.0,0.0,2154.219798342175,794542.9917933358,0.0,0.0,0.0,0.27,99.73,18
Epe,242538.65619491128,0.0,0.0,0.0,17.325263327426416,242521.33093158386,0.0,0.0,0.0,0.01,99.99,19
Badagry,290264.6284194391,0.0,0.0,0.0,0.0,290264.6284194391,0.0,0.0,0.0,0.0,100.0,20
