Metric,Value,Unit
Total population analysed,11613844.0,people
Population connected to walking network,11030270.0,people
Connected population share,94.98,percent
Population within 30 minutes,6206185.0,people
30-minute accessibility rate,53.44,percent
Underserved population,5407659.0,people
Underserved population share,46.56,percent
Core bus and rail access points,219.0,features
Multimodal access points,348.0,features
Walk network nodes,129815.0,nodes
Directed walk network edges,327234.0,edges
Largest connected component share,98.67,percent
Very high priority LGAs,5.0,LGAs
High priority LGAs,2.0,LGAs
Top-five underserved share,58.3,percent
